"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"PV_HMI.AIT_01";"23.12.2016 20:08:22";0,3994211;1;42727839143,5185
"$RT_OFF$";"23.12.2016 20:10:08";0;2;42727840370,3704
"PV_HMI.AIT_01";"23.12.2016 20:18:04";0,3994211;1;42727845879,6296
"PV_HMI.AIT_01";"23.12.2016 20:23:08";0,3994211;1;42727849398,1482
"$RT_OFF$";"23.12.2016 20:27:24";0;2;42727852361,1111
"$RT_OFF$";"23.12.2016 20:31:26";0;2;42727855162,037
"PV_HMI.AIT_01";"23.12.2016 20:36:53";0,3994211;1;42727858946,7593
"PV_HMI.AIT_01";"23.12.2016 20:41:56";0,3994211;1;42727862453,7037
"PV_HMI.AIT_01";"23.12.2016 20:46:59";0,4052098;1;42727865960,6481
"PV_HMI.AIT_01";"23.12.2016 20:52:02";0,3994211;1;42727869467,5926
"PV_HMI.AIT_01";"23.12.2016 20:57:05";0,4052098;1;42727872974,537
"PV_HMI.AIT_01";"23.12.2016 21:02:08";0,3994211;1;42727876481,4815
"PV_HMI.AIT_01";"23.12.2016 21:07:12";0,3936324;1;42727880000
"PV_HMI.AIT_01";"23.12.2016 21:12:15";0,3936324;1;42727883506,9445
"PV_HMI.AIT_01";"23.12.2016 21:17:18";0,3936324;1;42727887013,8889
"PV_HMI.AIT_01";"23.12.2016 21:22:21";0,3878437;1;42727890520,8333
"$RT_OFF$";"23.12.2016 21:26:47";0;2;42727893599,537
"PV_HMI.AIT_01";"23.12.2016 21:32:09";0,382055;1;42727897326,3889
"$RT_OFF$";"23.12.2016 21:35:06";0;2;42727899375
"$RT_OFF$";"23.12.2016 21:40:29";0;2;42727903113,4259
"$RT_OFF$";"23.12.2016 22:02:03";0;2;42727918090,2778
"PV_HMI.AIT_01";"23.12.2016 22:07:34";0,3878437;1;42727921921,2963
"$RT_OFF$";"23.12.2016 22:07:59";0;2;42727922210,6481
"$RT_OFF$";"23.12.2016 22:10:37";0;2;42727924039,3518
"PV_HMI.AIT_01";"23.12.2016 22:16:10";0,382055;1;42727927893,5185
"PV_HMI.AIT_01";"23.12.2016 22:21:14";0,382055;1;42727931412,037
"$RT_OFF$";"23.12.2016 22:25:14";0;2;42727934189,8148
"$RT_OFF$";"23.12.2016 22:28:11";0;2;42727936238,4259
"$RT_OFF$";"23.12.2016 22:32:00";0;2;42727938888,8889
"$RT_OFF$";"23.12.2016 22:35:21";0;2;42727941215,2778
"$RT_OFF$";"23.12.2016 22:38:23";0;2;42727943321,7593
"PV_HMI.AIT_01";"23.12.2016 22:46:10";0,3704776;1;42727948726,8519
"PV_HMI.AIT_01";"23.12.2016 22:51:14";4,052098E-02;1;42727952245,3704
